职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
ISP图像算法及C Model工程师,芯原微电子（成都）有限公司,外资（欧美）,2-3万/月,成都-高新区,5,2021-10-25 09:30:30,交通补贴 餐饮补贴 健身房 下午茶,3-4年经验,本科,电子技术/半导体/集成电路
算法工程师,四川康吉笙科技有限公司,民营公司,1.2-2.4万/月,成都-双流区,3,2021-10-25 09:29:17,五险一金 补充医疗保险 补充公积金 年终奖金 弹性工作 生日福利 租房补贴,1年经验,本科,计算机软件
高级算法工程师,成都博宇利华科技有限公司,民营公司,1.5-3万/月,成都-武侯区,5,2021-10-25 09:23:42,五险一金 交通补贴 通讯补贴 年终奖金 弹性工作 定期体检 员工旅游,3-4年经验,本科,计算机软件
图像算法工程师,全景恒升（北京）科学技术有限公司,民营公司,2-3万/月,成都-高新区,10,2021-10-25 09:15:20,五险一金 餐饮补贴 定期体检 绩效奖金 年终奖金 弹性工作 住宿补贴 员工旅游 股票期权,无需经验,硕士,金融/投资/证券
算法工程师,成都星云智联科技有限公司,国企,1.5-2.5万/月,成都-金牛区,5,2021-10-25 09:09:34,,3-4年经验,本科,计算机软件
多物理场耦合算法研发工程师,英特工程仿真技术（大连）有限公司,民营公司,1-2万/月,大连,10,2021-10-25 08:14:12,五险一金 交通补贴 绩效奖金 年终奖金 定期体检 通讯补贴 餐饮补贴 研发奖金 专业培训 节日福利,无需经验,硕士,计算机软件
CSIG15-机器学习算法研究员/工程师（成都）,深圳市腾讯计算机系统有限公司,民营公司,,成都,5,2021-10-25 07:04:53,,3-4年经验,硕士,互联网/电子商务
算法工程师,成都云图睿视科技有限公司,民营公司,1-2万/月,成都-高新区,3,2021-10-25 06:56:55,五险一金 年终奖金 专业培训 通讯补贴,1年经验,本科,计算机软件
高级图像算法工程师,四川芝麻云企业管理有限公司,民营公司,2.5-4.5万/月,成都-青羊区,5,2021-10-24 21:21:30,绩效奖金 年终奖金 股票期权 弹性工作 五险一金,3-4年经验,本科,专业服务(咨询、人力资源、财会)
点云算法工程师,成都术有云视觉科技有限公司,民营公司,1-1.5万/月,成都-高新区,4,2021-10-24 17:25:38,,2年经验,本科,仪器仪表/工业自动化
影像算法工程师13118,OPPO广东移动通信有限公司,合资,3-4万/月,深圳,5,2021-10-24 11:00:01,带薪年假 扁平管理 岗位晋升 定期体检 节日福利 餐饮补贴 五险一金 免费班车 员工旅游 年终奖金,3-4年经验,本科,通信/电信运营、增值服务
算法工程师,成都艾立本科技有限公司,创业公司,1.5-2万/月,成都-彭州市,5,2021-10-23 17:20:45,五险一金 周末双休 节假日休息 包吃住 年终奖金,3-4年经验,硕士,仪器仪表/工业自动化
算法工程师(3D),深圳市东正光学技术有限公司,民营公司,1.1-1.8万/月,成都-郫都区,5,2021-10-22 21:27:59,,3-4年经验,硕士,仪器仪表/工业自动化
信号处理算法工程师,慧众行知科技（北京）有限公司,民营公司,1.2-2万/月,成都-武侯区,5,2021-10-22 17:00:37,,3-4年经验,本科,计算机软件
控制算法工程师,四川航电微能源有限公司,民营公司,0.6-1.2万/月,成都-成华区,4,2021-10-22 16:17:17,五险一金 年终奖金 福利年假 餐饮补贴 专业培训 定期体检,2年经验,本科,新能源
图像算法工程师,成都卓视智通科技有限公司,民营公司,1.1-2.2万/月,成都-武侯区,3,2021-10-22 15:02:54,,1年经验,本科,计算机软件
医疗算法工程师,疆域康健创新医疗科技成都有限公司,外资（非欧美）,1-2万/月,成都-高新区,3,2021-10-22 14:02:38,五险一金 专业培训 绩效奖金 年终奖金 定期体检 餐饮补贴 周末双休 交通补贴,1年经验,本科,电子技术/半导体/集成电路
深度学习算法工程师,中国石油天然气管道工程有限公司,国企,1-2.5万/月,成都,3,2021-10-22 14:00:01,五险一金 补充公积金 交通补贴 餐饮补贴 绩效奖金 年终奖金 专业培训 出国机会 定期体检,1年经验,本科,石油/化工/矿产/地质
飞行控制算法工程师,沃飞长空科技（成都）有限公司,民营公司,1.5-2万/月,成都-高新区,3,2021-10-22 10:53:52,五险一金 补充医疗保险 定期体检 弹性工作 年终奖金 绩效奖金 节日福利 带薪年假 管理规范,1年经验,本科,航天/航空
信道编译码算法工程师,北京融为科技有限公司成都分公司,民营公司,1.5-3万/月,成都-金牛区,5,2021-10-22 10:46:53,五险一金 餐饮补贴 专业培训 健身房 年终奖金,3-4年经验,本科,通信/电信/网络设备
算法工程师（成都） (MJ000277),搜款网VVIC,民营公司,2.2-4.4万/月,成都-高新区,5,2021-10-22 10:18:45,弹性工作 绩效奖金 五险一金 年终奖金 专业培训 交通补贴 住房补贴,3-4年经验,本科,互联网/电子商务
FPGA算法工程师,成都众享天地网络科技有限公司,民营公司,1.5-3万/月,成都-郫都区,4,2021-10-22 09:39:37,员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 弹性工作 五险一金 定期体检,2年经验,本科,计算机软件
slam定位算法工程师,北京数字绿土科技有限公司,民营公司,1.8-3.5万/月,成都-高新区,4,2021-10-22 09:11:58,五险一金 交通补贴 补充医疗保险 弹性工作 股票期权 年终奖金 绩效奖金 定期体检 员工旅游 免费班车,2年经验,本科,计算机软件
控制算法工程师,深圳安智杰科技有限公司,民营公司,0.8-1.5万/月,成都-郫都区,4,2021-10-21 21:10:23,五险一金 员工旅游 绩效奖金 定期体检,2年经验,本科,电子技术/半导体/集成电路
算法工程师,成都国恒空间技术工程有限公司,民营公司,1.5-2万/月,成都-高新区,4,2021-10-21 16:37:05,五险一金 补充医疗保险 绩效奖金 餐饮补贴 定期体检 年终奖金 通讯补贴,2年经验,硕士,通信/电信/网络设备
算法工程师（实习）,北京科电航宇空间技术有限公司,民营公司,5-8千/月,成都-青羊区,3,2021-10-21 15:06:50,五险一金 餐饮补贴 弹性工作 定期体检 通讯补贴 补充医疗保险 年终奖金 员工旅游,1年经验,本科,电子技术/半导体/集成电路
算法工程师,中国电科第二十九研究所-中星世通公司,国企,15-20万/年,成都-青羊区,4,2021-10-21 14:39:55,五险一金 补充医疗保险 餐饮补贴 绩效奖金 年终奖金 定期体检,2年经验,硕士,电子技术/半导体/集成电路
数据融合算法工程师,四川知周科技有限责任公司,民营公司,1-2万/月,成都-高新区,3,2021-10-21 14:06:16,五险一金 节日福利 餐饮补贴 年终奖金,1年经验,本科,计算机软件
算法工程师,成都安则优科技有限公司,民营公司,1-3万/月,成都-武侯区,3,2021-10-21 11:02:54,五险一金 交通补贴 专业培训 绩效奖金 周末双休 包吃,1年经验,硕士,计算机软件
系统控制算法工程师,成都中天自动化控制技术有限公司,民营公司,1-2万/月,成都-高新区,4,2021-10-21 10:30:46,,2年经验,本科,仪器仪表/工业自动化
算法工程师,株洲上赛光电系统有限公司,民营公司,1-2万/月,成都-武侯区,4,2021-10-21 10:45:59,,2年经验,本科,电子技术/半导体/集成电路
高级算法工程师--图像识别方向(技术+管理),成都新尚置业集团有限公司,民营公司,1.5-2.5万/月,成都-武侯区,5,2021-10-21 09:41:35,五险一金 带薪年假 周末双休 节日福利 定期体检 出国旅游 年终奖金,3-4年经验,本科,房地产
算法工程师,成都艾斯工程机械有限公司,民营公司,0.8-1.5万/月,成都-高新区,5,2021-10-21 08:48:27,弹性工作 带薪年假 五险一金 定期体检 员工旅游,3-4年经验,本科,贸易/进出口
高级算法工程师,成都考拉悠然科技有限公司,合资,1.8-3万/月,成都-高新区,5,2021-10-20 14:41:22,五险一金 股票期权 年终奖金 定期体检 加班餐补 团建活动 补充医疗保险 出国机会 节日福利,3-4年经验,硕士,计算机软件
图像识别算法工程师,境观智能科技（成都）有限公司,民营公司,15-25万/年,成都-高新区,3,2021-10-20 11:32:42,,1年经验,本科,环保
导航算法工程师,成都睿芯行科技有限公司,民营公司,1.5-3万/月,成都-高新区,5,2021-10-20 11:38:22,五险一金 定期体检 股票期权 年终奖金 弹性工作 周末双休,3-4年经验,本科,电子技术/半导体/集成电路
运筹优化算法工程师,成都造易软件有限责任公司,合资,1.5-2万/月,成都-武侯区,3,2021-10-20 10:55:58,五险一金 交通补贴 通讯补贴 餐饮补贴 定期体检 员工旅游 绩效奖金 带薪年假 商业保险,1年经验,硕士,计算机软件
视觉算法工程师,成都南方电子仪表有限公司,民营公司,0.8-1.5万/月,成都-双流区,5,2021-10-20 10:50:52,五险一金 免费班车 员工旅游 交通补贴 绩效奖金 年终奖金 餐饮补贴,3-4年经验,本科,仪器仪表/工业自动化
算法工程师,成都华律就问信息技术服务有限公司,民营公司,2-3.5万/月,成都-郫都区,4,2021-10-20 10:20:08,绩效奖金 每周下午茶 节日福利 六险一金 年度体检,2年经验,本科,法律
交通规划算法工程师,车路通科技（成都）有限公司,民营公司,1.8-3万/月,成都,4,2021-10-20 10:06:06,五险一金 年终奖金 绩效奖金,2年经验,硕士,电子技术/半导体/集成电路
图像算法工程师,上海奕瑞光电子科技股份有限公司,上市公司,1-2万/月,成都-郫都区,5,2021-10-20 09:33:29,五险一金 补充医疗保险 补充公积金 免费班车 餐饮补贴 年终奖金 定期体检,3-4年经验,硕士,医疗设备/器械
算法工程师,成都玖锦科技有限公司,民营公司,1.5-3万/月,成都,4,2021-10-20 09:07:33,五险一金 节日福利 绩效奖金 加班补贴 周末双休 年终奖金 生日福利 带薪年假,2年经验,本科,电子技术/半导体/集成电路
视觉深度学习算法工程师,四川苹乐华创智能装备有限公司,创业公司,1-1.5万/月,成都-高新区,5,2021-10-19 21:31:12,五险一金 免费班车 员工旅游 出国机会 弹性工作 定期体检,3-4年经验,硕士,计算机软件
图像算法工程师,广州辰创科技发展有限公司,民营公司,1.5-2.5万/月,成都-金牛区,4,2021-10-19 16:14:09,,2年经验,硕士,通信/电信/网络设备
算法工程师（架构设计）,成都锐芯盛通电子科技有限公司,民营公司,1-2万/月,成都-邛崃市,6,2021-10-19 16:11:25,餐饮补贴 定期体检 带薪年假 节庆福利 五险一金 年终奖金 员工旅游,5-7年经验,本科,电子技术/半导体/集成电路
图像算法工程师,南京雷电信息技术有限公司,民营公司,15-20万/年,成都-青羊区,5,2021-10-19 16:00:34,五险一金 通讯补贴 餐饮补贴 交通补贴 绩效奖金 年终奖金 定期体检,3-4年经验,本科,电子技术/半导体/集成电路
EDA算法工程师,成都华微电子科技有限公司,国企,3-6万/月,成都,10,2021-10-19 15:35:18,五险一金 定期体检,无需经验,本科,电子技术/半导体/集成电路
机器视觉算法工程师,苏州阿普奇物联网科技有限公司,民营公司,1-1.5万/月,成都-成华区,3,2021-10-19 15:00:01,,1年经验,本科,计算机硬件
校园招聘-通信算法工程师,湖南国科微电子股份有限公司,上市公司,1-1.5万/月,成都-高新区,10,2021-10-19 11:36:50,五险一金 补充医疗保险 补充公积金 绩效奖金 定期体检,无需经验,本科,电子技术/半导体/集成电路
算法工程师,成都甲乙方程科技有限公司,民营公司,1.5-2万/月,成都-锦江区,5,2021-10-19 10:21:21,五险一金 绩效奖金 年终奖金 岗位长期稳定 多元化收入 工作氛围良好 办公环境舒适 股票期权,3-4年经验,硕士,计算机软件
路径规划算法工程师,蓝海（福建）信息科技有限公司,民营公司,1.5-3万/月,成都-高新区,6,2021-10-19 10:00:01,五险一金 员工旅游 年终奖金 绩效奖金,5-7年经验,本科,计算机软件
算法设计工程师 — CAD图形引擎,深圳市贝思科尔软件技术有限公司,民营公司,1.2-2.4万/月,成都-武侯区,5,2021-10-19 09:17:55,周末双休 五险一金 弹性工作 通讯补贴,3-4年经验,硕士,计算机软件
算法工程师-数据分析方向,清华四川能源互联网研究院,事业单位,1-1.5万/月,成都-天府新区,10,2021-10-19 09:17:12,,无需经验,硕士,电气/电力/水利
算法工程师,四川纬易企业管理咨询有限公司,民营公司,2-2.5万/月,成都,4,2021-10-18 16:44:49,,2年经验,大专,影视/媒体/艺术/文化传播
医学影像算法工程师,上海志御软件信息有限公司,民营公司,2.5-4万/月,成都-武侯区,5,2021-10-18 16:27:30,,3-4年经验,本科,计算机软件
激光SLAM及导航算法工程师,四川启睿克科技有限公司,国企,1.2-1.8万/月,成都-郫都区,5,2021-10-18 10:00:01,,3-4年经验,硕士,互联网/电子商务
算法工程师（实习）,成都青程融创信息技术有限公司,民营公司,3-5千/月,成都-高新区,3,2021-10-18 10:26:51,五险一金 专业培训 周末双休 免费下午茶,1年经验,硕士,电子技术/半导体/集成电路
算法工程师,成都恒享科技有限公司,民营公司,2.5-3万/月,成都-成华区,3,2021-10-18 10:14:17,五险一金 免费工作餐 节假日礼金 丰厚年终奖,1年经验,本科,通信/电信/网络设备
图像处理算法工程师,四川索牌科技股份有限公司,民营公司,0.8-1.5万/月,成都-高新区,3,2021-10-18 10:03:01,补充医疗保险 员工旅游 专业培训 餐饮补贴 社保 节日福利 带薪年假,1年经验,本科,机械/设备/重工
图像算法工程师(J28651),成都京东方光电科技有限公司,国企,1-1.5万/月,成都-郫都区,5,2021-10-18 09:29:19,,3-4年经验,本科,电子技术/半导体/集成电路
3D切片算法工程师(000592),西安铂力特增材技术股份有限公司,民营公司,1.5-3万/月,西安,4,2021-10-18 09:20:52,做五休二 周末双休 五险一金 节日福利 生日福利 通勤班车 定期体检 年终奖金,2年经验,本科,机械/设备/重工
视觉算法工程师,上海昕东电子科技有限公司,民营公司,1.5-2.5万/月,成都-郫都区,4,2021-10-18 08:45:41,五险一金 通讯补贴 定期体检 午餐 带薪年假 定期团建 交通补贴,2年经验,本科,电子技术/半导体/集成电路
算法工程师,精匠诊断技术（江苏）有限公司,民营公司,1.5-2.5万/月,成都-高新区,5,2021-10-17 12:00:01,,3-4年经验,本科,医疗/护理/卫生
图形算法工程师,康健苗苗（杭州）医药有限公司,民营公司,1.7-3万/月,成都-金牛区,5,2021-10-16 15:30:24,绩效奖金 五险一金 餐饮补贴 带薪年假 全勤奖 节日福利 加班补贴,3-4年经验,硕士,制药/生物工程
算法工程师（图像识别方向）,四川长虹电器股份有限公司,国企,1-1.5万/月,成都-高新区,4,2021-10-15 21:00:01,周末双休 绩效奖金 五险一金 带薪年假 餐饮补贴,2年经验,本科,家具/家电/玩具/礼品
无线通信算法工程师,成都源创视达科技有限公司,民营公司,1.5-2.5万/月,成都-金牛区,4,2021-10-15 18:46:09,五险一金 员工旅游 年终奖金 绩效奖金 股票期权,2年经验,本科,电子技术/半导体/集成电路
多媒体AI算法工程师,小米通讯技术有限公司,民营公司,3-6万/月,北京,5,2021-10-15 16:00:01,,3-4年经验,本科,通信/电信运营、增值服务
图像算法工程师,成都众乐泰科技有限公司,民营公司,1-1.8万/月,成都-高新区,5,2021-10-15 15:51:12,五险一金 补充医疗保险 补充公积金 年终奖金,3-4年经验,本科,电子技术/半导体/集成电路
算法工程师,四川川大智胜系统集成有限公司,民营公司,1.5-2万/月,成都-武侯区,6,2021-10-15 10:17:15,,5-7年经验,大专,计算机软件
信号处理算法工程师,北京航天微电科技有限公司,国企,10-20万/年,成都-金牛区,3,2021-10-14 15:57:53,五险一金 交通补贴 绩效奖金 餐饮补贴 定期体检 通讯补贴 年终奖金 专业培训 员工旅游,1年经验,本科,电子技术/半导体/集成电路
图像算法工程师,贵州海康交通大数据有限公司,民营公司,1.5-2.5万/月,成都-天府新区,5,2021-10-14 15:55:28,,3-4年经验,本科,互联网/电子商务
算法工程师,上海直真君智科技有限公司,民营公司,0.9-1.8万/月,成都-青羊区,5,2021-10-14 08:58:33,五险一金 餐饮补贴 定期体检 年终奖金 交通补贴 通讯补贴,3-4年经验,硕士,计算机软件
数据分析算法工程师,昆仑数智科技有限责任公司,国企,1.7-3万/月,北京,7,2021-10-13 11:00:01,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 定期体检 免费班车 绩效奖金,8-9年经验,本科,计算机软件
算法工程师（电子科技大学机器人中心）,布法罗机器人科技（成都）有限公司,国企,1.5-2万/月,成都-双流区,4,2021-10-12 04:02:14,五险一金 专业培训 弹性工作 年终奖金,2年经验,本科,医疗设备/器械
算法工程师,无锡博奥玛雅医学科技有限公司,民营公司,20-30万/年,成都-武侯区,4,2021-10-11 08:26:01,五险一金 补充医疗保险 交通补贴 餐饮补贴 年终奖金 绩效奖金 定期体检 专业培训 周末双休,2年经验,本科,医疗设备/器械
算法工程师,成都川美新技术股份有限公司,民营公司,1.2-1.8万/月,成都-武侯区,5,2021-10-10 11:38:14,五险一金 专业培训 绩效奖金 定期体检,3-4年经验,本科,电子技术/半导体/集成电路
密码算法工程师,成都三零嘉微电子有限公司,国企,1.5-3万/月,成都,3,2021-10-09 14:30:59,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,1年经验,本科,电子技术/半导体/集成电路
算法工程师-环境模型,成都卓远信息技术有限公司,民营公司,1.5-2万/月,成都-高新区,5,2021-10-08 10:48:21,五险一金 年终奖金 餐饮补贴 股票期权,3-4年经验,硕士,计算机软件
GPU算法工程师,成都爱科特科技发展有限公司,上市公司,1-2万/月,成都-温江区,5,2021-10-08 10:21:06,专业培训 五险一金 餐饮补贴 节日福利 年终奖金 周末双休 全勤奖,3-4年经验,本科,电子技术/半导体/集成电路
图像算法工程师,成都理想境界科技有限公司,民营公司,1-2万/月,成都-高新区,10,2021-10-01 16:00:01,五险一金 定期体检 年终奖金 餐饮补贴 绩效奖金,无需经验,本科,通信/电信/网络设备
图像算法工程师,成都鹏业软件股份有限公司,民营公司,1-1.5万/月,成都,3,2021-10-01 15:00:01,五险一金 员工旅游 餐饮补贴 年终奖金 弹性工作 定期体检,1年经验,硕士,计算机软件
算法工程师,四川凯普顿信息技术股份有限公司,民营公司,1.8-3万/月,成都-武侯区,4,2021-09-30 13:00:01,五险一金 周末双休 补充医疗保险 交通补贴 年终奖金 带薪年假 节日福利 出差补贴,2年经验,本科,计算机软件
通信算法工程师（无线电）,成都能通科技股份有限公司,民营公司,1.5-2.5万/月,成都-武侯区,4,2021-09-29 17:45:21,五险一金 补充医疗保险 员工旅游 餐饮补贴 专业培训 定期体检 年终奖金 绩效奖金 生日福利 部门活动基金,2年经验,硕士,电子技术/半导体/集成电路
定位导航算法工程师,四川中电昆辰科技有限公司,创业公司,25-50万/年,成都,5,2021-09-29 13:57:43,五险一金 员工旅游 弹性工作 年终奖金 个人成长 员工食堂 绩效奖金,3-4年经验,硕士,电子技术/半导体/集成电路
图像算法工程师,成都新西旺自动化科技有限公司,民营公司,1.2-2万/月,成都-郫都区,4,2021-09-28 14:54:01,交通补贴 通讯补贴 绩效奖金 员工旅游 年终奖金 补充医疗保险 社会保险 五险一金,2年经验,硕士,仪器仪表/工业自动化
通信信号处理算法工程师,成都戎星科技有限公司,民营公司,1.5-2.5万/月,成都-武侯区,5,2021-09-28 11:32:01,五险一金 绩效奖金 年终奖金 专业培训 定期体检 周末双休 团队聚餐,3-4年经验,本科,计算机服务(系统、数据服务、维修)
图像算法工程师,成都探芯科技有限公司,民营公司,1-1.5万/月,成都-高新区,4,2021-09-27 17:00:01,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 周末双休 带薪年假 公司团建 员工体检,2年经验,本科,电子技术/半导体/集成电路
密码算法工程师（嘉微）,成都卫士通信息产业股份有限公司,上市公司,15-20万/年,成都,10,2021-09-27 16:12:21,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 绩效奖金 定期体检 高温假期 年终奖金,无需经验,本科,通信/电信/网络设备
机器/深度学习算法工程师,上海通办信息服务有限公司,民营公司,1.2-2.2万/月,成都-高新区,3,2021-09-27 16:08:37,,1年经验,本科,计算机软件
定位算法工程师,深圳天源迪科信息技术股份有限公司,民营公司,1.5-4万/月,成都,3,2021-09-27 14:03:31,定期体检 五险一金 年终奖金 周末双休 节日福利 上市公司 15薪,1年经验,硕士,计算机软件
算法高级工程师,成都先导药物开发股份有限公司,合资,1.8-3万/月,成都,4,2021-09-27 13:59:57,五险一金 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 股票期权 定期体检,2年经验,博士,制药/生物工程
软件算法工程师,上海安路信息科技股份有限公司,民营公司,2-3.5万/月,成都-高新区,4,2021-09-27 09:39:41,五险一金 员工旅游 专业培训 年终奖金 股票期权 弹性工作,2年经验,硕士,电子技术/半导体/集成电路
机器视觉算法工程师,成都姜业光电科技有限公司,民营公司,20-30万/年,成都-天府新区,3,2021-09-26 18:08:21,五险一金 周末双休 绩效奖金 年终奖金 定期体检 朝九晚五点半 员工旅游 加班调休,1年经验,博士,机械/设备/重工
遥感算法工程师-地图慧,北京超图软件股份有限公司,上市公司,1.5-2万/月,成都-双流区,5,2021-09-26 16:00:01,五险一金 补充医疗保险 股票期权 交通补贴 通讯补贴 专业培训,3-4年经验,本科,计算机软件
图像算法工程师,成都天鹰锐视科技有限公司,民营公司,1-1.5万/月,成都-高新区,10,2021-09-24 14:13:01,周末双休 弹性工作 五险一金 14薪 节假日福利,无需经验,本科,计算机硬件
算法工程师（通信方向）,北京德辰科技股份有限公司,民营公司,1-1.5万/月,成都-高新区,5,2021-09-24 10:30:42,五险一金 餐饮补贴 交通补贴 带薪年假 员工旅游 绩效奖金 国内外旅游 专业培训 定期体检 项目奖金,3-4年经验,本科,电子技术/半导体/集成电路
图形开发工程师/算法工程师（工程事业部）,中国铁道科学研究院电子计算技术研究所,国企,1-2万/月,成都-武侯区,10,2021-09-23 19:22:39,五险一金 年终奖金 定期体检 带薪年假,无需经验,硕士,计算机软件
图像算法工程师,成都圭目机器人有限公司,民营公司,1.5-2.5万/月,成都-龙泉驿区,5,2021-09-22 17:32:44,五险一金 补充医疗保险 员工旅游 定期体检 股票期权 餐饮补贴 年终奖金 绩效奖金 交通补贴,3-4年经验,硕士,计算机软件
图像算法工程师,北京卓视智通科技有限责任公司,民营公司,0.9-2万/月,成都-武侯区,3,2021-09-22 11:09:04,五险一金 绩效奖金 年终奖金 弹性工作,1年经验,本科,计算机软件
算法工程师,深圳市维新教育科技有限公司,民营公司,2-2.5万/月,成都-武侯区,4,2021-09-22 07:09:27,五险一金 绩效奖金 全勤奖 节日福利 专业培训 员工旅游,2年经验,硕士,专业服务(咨询、人力资源、财会)
视觉算法工程师,成都指码科技有限公司,创业公司,1-1.8万/月,成都,4,2021-09-20 16:00:01,五险一金 餐饮补贴 绩效奖金 年终奖金,2年经验,本科,仪器仪表/工业自动化
无线通讯算法工程师,大摩智讯科技（宁波）有限责任公司,民营公司,1-2.5万/月,宁波,4,2021-09-17 16:00:01,,2年经验,硕士,通信/电信/网络设备
算法工程师,成都乐享智家科技有限责任公司,民营公司,0.8-1.3万/月,成都-高新区,5,2021-09-17 09:00:01,五险一金 绩效奖金 定期体检 年终奖金 弹性工作 专业培训 周末双休 补充医疗保险,3-4年经验,本科,计算机软件
算法仿真工程师/系统工程师,成都靖尧通信技术有限公司,民营公司,1-2.5万/月,成都-成华区,4,2021-09-15 13:55:16,五险一金 补充医疗保险 员工旅游 年终奖金 弹性工作 餐饮补贴,2年经验,硕士,通信/电信/网络设备
信号处理算法工程师,成都点阵科技有限公司,民营公司,1-2万/月,成都,4,2021-09-13 15:00:01,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检,2年经验,本科,电子技术/半导体/集成电路
算法工程师,成都市安比科技有限公司,民营公司,30-50万/年,成都-高新区,5,2021-09-13 10:06:40,,3-4年经验,本科,电子技术/半导体/集成电路
图像算法工程师,深圳市置辰海信科技有限公司四川分公司,民营公司,1.2-1.8万/月,成都-武侯区,5,2021-09-13 08:56:03,五险一金 员工旅游 补充医疗保险 绩效奖金 弹性工作,3-4年经验,本科,计算机软件
组合导航算法工程师,成都天合世纪科技有限责任公司,民营公司,1.5-2万/月,成都-高新区,3,2021-09-11 10:00:01,五险一金 通讯补贴 交通补贴 年终奖金,1年经验,本科,电子技术/半导体/集成电路
视觉算法工程师,成都欣明科技有限公司,创业公司,1-2万/月,成都,4,2021-09-08 13:32:22,五险一金 通讯补贴 绩效奖金 年终奖金 定期体检 交通补贴 商业保险,2年经验,本科,仪器仪表/工业自动化
算法分析与设计工程师,上海登临科技有限公司,合资,16-60万/年,成都-高新区,4,2021-09-07 16:41:34,补充医疗保险 员工旅游 交通补贴 餐饮补贴 通讯补贴 股票期权 年终奖金 弹性工作 六险一金 定期体检,2年经验,硕士,计算机硬件
算法（数据）工程师,四川川润股份有限公司,民营公司,1-1.5万/月,成都-高新区,4,2021-09-06 19:00:43,五险一金 节日福利 周末双休 带薪年假 免费工作餐,2年经验,大专,机械/设备/重工
算法工程师,四川创智联恒科技有限公司,上市公司,2.2-4.5万/月,成都-高新区,6,2021-09-03 04:01:31,周末双休 带薪年假 五险一金 交通补贴 餐饮补贴 通讯补贴,5-7年经验,本科,通信/电信/网络设备
AI算法工程师,中电万维信息技术有限责任公司,国企,1-1.5万/月,成都-高新区,3,2021-09-02 18:26:16,五险一金 专业培训 年终奖金 防暑费 通讯补贴 餐饮补贴 带薪年假 补充医疗保险 绩效奖金 定期体检,1年经验,硕士,计算机软件
图像算法工程师,成都鼎屹信息技术有限公司,民营公司,1.3-2.2万/月,成都-高新区,5,2021-09-01 09:32:55,五险一金 专业培训 年终奖金 项目奖励 定期体检 交通补贴 通讯补贴 带薪年假,3-4年经验,本科,电子技术/半导体/集成电路
信号处理算法工程师,成都深地领航能源科技有限公司,民营公司,1.8-3万/月,成都-新都区,6,2021-08-31 10:10:48,餐饮补贴 定期体检 绩效奖金 年终奖金 租房补贴 加班补贴,5-7年经验,本科,仪器仪表/工业自动化
雷达算法工程师,成都雷通科技有限公司,民营公司,1.5-3万/月,成都-高新区,5,2021-08-30 13:45:05,餐饮补贴 专业培训 出国机会 绩效奖金 年终奖金 五险一金,3-4年经验,本科,电子技术/半导体/集成电路
图像算法工程师,北京鼎汉技术集团股份有限公司,上市公司,1-1.5万/月,成都-高新区,4,2021-08-30 13:09:59,,2年经验,本科,仪器仪表/工业自动化
深度学习算法工程师,成都通甲优博科技有限责任公司,民营公司,1.5-3万/月,成都-双流区,4,2021-08-30 11:48:05,五险一金 餐饮补贴 定期体检 绩效奖金 年终奖金 股票期权 交通补贴 员工旅游,2年经验,本科,计算机软件
图形图像算法工程师（成都）,成都东方盛行电子有限责任公司,民营公司,1.5-2万/月,四川省,4,2021-08-30 11:35:08,五险一金 餐饮补贴 交通补贴 绩效奖金 年终奖金 定期体检,2年经验,硕士,计算机软件
机器学习算法工程师,广州多益网络股份有限公司,民营公司,1.2-2.4万/月,成都-高新区,10,2021-08-30 09:15:09,互联网百强,无需经验,招若干人,网络游戏
AI算法工程师 （高频量化交易方向）,抚州链视角互联网科技有限公司,民营公司,1.2-2万/月,抚州,5,2021-08-28 09:00:28,五险一金 员工旅游 专业培训 年终奖金 弹性工作 法定假日,3-4年经验,本科,互联网/电子商务
软件工程师（成都）,新源动力股份有限公司,民营公司,0.8-1.5万/月,成都,3,2021-10-26 04:32:25,,1年经验,硕士,电气/电力/水利
数量遗传分析师,新希望六和股份有限公司,上市公司,1-1.8万/月,成都,3,2021-10-26 09:32:45,定期体检 绩效奖金 专业培训 节日福利 带薪年假 交通补贴 五险 包吃,1年经验,本科,农/林/牧/渔
FPGA算法逻辑开发人员,成都睿志辰科技有限公司,民营公司,1.5-2.5万/月,成都-武侯区,4,2021-10-26 09:11:52,五险一金,2年经验,本科,通信/电信/网络设备
自动化、视觉工程师,成都三行科技有限公司,民营公司,0.8-1.3万/月,成都-金牛区,10,2021-10-26 08:56:33,员工旅游 通讯补贴 年终奖金 定期体检 周末双休 节假日福利 五险一金,无需经验,大专,仪器仪表/工业自动化
机器视觉开发工程师,四川聚能峰科技有限公司,民营公司,1-2万/月,成都-金牛区,5,2021-10-26 04:01:15,交通补贴 通讯补贴 年终奖金 周末双休 入职购买社保 节日福利,3-4年经验,大专,计算机软件
