职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
阵列信号处理工程师,中国电子科技集团公司第十研究所,事业单位,1.5-2万/月,成都-金牛区,3,2021-10-26 04:01:52,五险一金 补充医疗保险 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 住房补贴 单身宿舍,1年经验,硕士,电子技术/半导体/集成电路
抗干扰信号处理工程师,中国电子科技集团公司第十研究所,事业单位,1.5-2万/月,成都-金牛区,3,2021-10-26 04:01:52,五险一金 补充医疗保险 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 住房补贴 单身宿舍,1年经验,硕士,电子技术/半导体/集成电路
电子对抗信号处理工程师,中国电子科技集团公司第十研究所,事业单位,1.5-2万/月,成都-金牛区,3,2021-10-26 04:01:52,五险一金 补充医疗保险 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 住房补贴 单身宿舍,1年经验,硕士,电子技术/半导体/集成电路
基带信号处理工程师,中国电子科技集团公司第十研究所,事业单位,1.5-2万/月,成都-金牛区,3,2021-10-26 04:00:00,五险一金 补充医疗保险 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 住房补贴 单身宿舍,1年经验,硕士,电子技术/半导体/集成电路
大数据研发工程师,字节跳动,民营公司,2-4万/月,成都,10,2021-10-26 01:33:30,下午茶 健身瑜伽 六险一金 五险一金 股票期权 团队氛围好 晋升空间大 带薪休假 扁平管理 用户过亿,无需经验,本科,互联网/电子商务
FPGA/DSP软件开发,广州辰创科技发展有限公司,民营公司,1-1.8万/月,成都-金牛区,6,2021-10-25 15:00:01,五险一金 绩效奖金 年底双薪 周末双休 全勤奖 节日福利,5-7年经验,本科,通信/电信/网络设备
C++中级软件开发工程师,成都三是科技有限公司,民营公司,1-1.5万/月,成都-郫都区,3,2021-10-25 13:41:53,五险一金 通讯补贴 绩效奖金 住宿 节日福利,1年经验,本科,仪器仪表/工业自动化
语音识别算法研究,四川川大智胜软件股份有限公司,民营公司,0.8-1.5万/月,成都,3,2021-10-25 11:15:18,年终奖金 绩效奖金 通讯补贴 五险一金 补充医疗保险 定期体检 交通补贴 餐饮补贴 免费班车,1年经验,硕士,计算机软件
信号处理工程师,成都国星通信有限公司,上市公司,2-2.5万/月,成都,3,2021-10-25 10:12:41,五险一金 补充医疗保险 定期体检 绩效奖金 交通补贴 餐饮补贴 年终奖金 员工旅游 商业保险,1年经验,硕士,通信/电信/网络设备
资深软件工程师,深圳华创电科技术有限公司,民营公司,2.5-3万/月,成都-成华区,6,2021-10-25 09:50:02,,5-7年经验,本科,计算机硬件
软件工程师,深圳华创电科技术有限公司,民营公司,1.5-3万/月,成都-成华区,6,2021-10-25 09:50:02,周末双休 五险一金 补充医疗保险 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 股票期权 定期体检,5-7年经验,本科,计算机硬件
北京数通魔方四川算法总监,四川芝麻云企业管理有限公司,民营公司,2-4万/月,成都-高新区,5,2021-10-24 21:21:30,绩效奖金 年终奖金 股票期权 弹性工作 五险一金,3-4年经验,本科,专业服务(咨询、人力资源、财会)
销售主管,四川芝麻云企业管理有限公司,民营公司,0.9-1.7万/月,成都-武侯区,3,2021-10-24 21:21:30,员工旅游 专业培训 出国机会 绩效奖金 年终奖金 股票期权 弹性工作 定期体检 五险一金,1年经验,大专,专业服务(咨询、人力资源、财会)
中级级数字信号处理工程师,成都创亿嘉科技有限公司,民营公司,1-1.6万/月,成都-武侯区,5,2021-10-23 10:00:01,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 股票期权 定期体检,3-4年经验,本科,电子技术/半导体/集成电路
Java开发工程师,沃飞长空科技（成都）有限公司,民营公司,1-1.5万/月,成都-高新区,5,2021-10-22 10:53:52,五险一金 补充医疗保险 定期体检 弹性工作 年终奖金 绩效奖金 节日福利 带薪年假 管理规范,3-4年经验,本科,航天/航空
导航系统工程师,沃飞长空科技（成都）有限公司,民营公司,1.5-2.5万/月,成都-高新区,5,2021-10-22 10:53:52,五险一金 补充医疗保险 定期体检 弹性工作 年终奖金 绩效奖金 节日福利 带薪年假 管理规范,3-4年经验,硕士,航天/航空
