Aobject_id,lastmodified_time_range,Aexception_type,f0410_name,lastoccur_region,lastappeared_id,lat,username,M,Bexception_type,company,machine_type,machine_mark,isCivilPlane,gjdq,importancelecel,course,category,name0410en,name0410,lastmodified_time,isCivilPlanePossibility,long,name0410Possibility,Bobject_id,lastmodified_date,id,importancelevel
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",30.984741,"\"null\"",1.60344986E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",349.7575,未知,"\"null\"","\"null\"",10:44:31,0,125.02066,0,35,2020-10-23,12529,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",33.922104,"\"null\"",1.60345062E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",7.85136,异常,"\"null\"","\"null\"",10:56:31,0,122.57022,0,38,2020-10-23,12532,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",27.682135,"\"null\"",1.60345075E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",260.37946,异常,"\"null\"","\"null\"",10:58:31,0,122.86867,0,41,2020-10-23,12535,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128",12540,34.076317,"\"null\"",1.60345101E9,盘旋异常,"\"null\"",战斗机,C202,false,"\"null\"","\"null\"",307.57635,异常,Lincoln,林肯,11:04:31,0,125.06254,0.10104731,46,2020-10-23,12540,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",30.163023,"\"null\"",1.6034505E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",35.735283,异常,"\"null\"","\"null\"",10:54:31,0,124.364685,0,49,2020-10-23,12543,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",31.381676,"\"null\"",1.60345011E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",271.3653,未知,"\"null\"","\"null\"",10:48:31,0,123.61648,0,57,2020-10-23,12551,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",27.161366,"\"null\"",1.60345178E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",79.56153,异常,"\"null\"","\"null\"",11:16:31,0,125.18122,0,58,2020-10-23,12552,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",31.574514,"\"null\"",1.60345114E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",25.581856,异常,"\"null\"","\"null\"",11:06:31,0,125.37662,0,61,2020-10-23,12555,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",27.513725,"\"null\"",1.60345037E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",154.26538,未知,"\"null\"","\"null\"",10:52:31,0,125.027336,0,65,2020-10-23,12559,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",32.517857,"\"null\"",1.60345011E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",128.57024,未知,"\"null\"","\"null\"",10:48:31,0,124.868965,0,66,2020-10-23,12560,
